"spol" "starost" "krovna_kat" "st_znakov_rec"
"1507" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1511" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"1512" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1515" "moški" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1522" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1523" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1525" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1527" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1529" "moški" "18 do 21 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1530" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"1531" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1532" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"1533" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1536" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"1537" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1542" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1543" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1546" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1548" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1550" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1554" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1566" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1570" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1572" "moški" "10 do 13 let" "Spolno zdravje" "> 250 in <750 znakov"
"1573" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1575" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1578" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1584" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1587" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1589" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1590" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"1591" "moški" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"1593" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1595" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1596" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1597" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1600" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1602" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1606" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1608" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1610" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1611" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1613" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1615" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1619" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1626" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1630" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1631" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1632" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"1634" "ženski" "18 do 21 let" "Odnosi" ">750 znakov"
"1636" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"1640" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1641" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"1653" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1654" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"1659" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1663" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1664" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1665" "moški" "14 do 17 let" "Spolnost" ">750 znakov"
"1667" "ženski" "18 do 21 let" "Spolnost" "<250 znakov"
"1668" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1669" "moški" "10 do 13 let" "Odnosi" "<250 znakov"
"1670" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1674" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1675" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1677" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1680" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1682" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1683" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1685" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1687" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1688" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1689" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1690" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1693" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1696" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1703" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"1704" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1705" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1706" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"1707" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1711" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1713" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1714" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"1717" "moški" "10 do 13 let" "Odnosi" ">750 znakov"
"1721" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1722" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1725" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1727" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1733" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1735" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1738" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1743" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1745" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"1747" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1750" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1754" "ženski" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"1757" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1759" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1763" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1764" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1769" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"1772" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1773" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1774" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1775" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1776" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1784" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1785" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"1786" "ženski" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"1796" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1800" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1805" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1806" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"1808" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1809" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1811" "moški" "14 do 17 let" "Spolnost" ">750 znakov"
"1814" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1817" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1821" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1825" "ženski" "10 do 13 let" "Spolno zdravje" ">750 znakov"
"1826" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"1827" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1828" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1830" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1831" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1837" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1838" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1840" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1841" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1845" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"1848" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1851" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"1852" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"1855" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1856" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1857" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1858" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1859" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1860" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"1862" "ženski" "18 do 21 let" "Duševno zdravje" "> 250 in <750 znakov"
"1863" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"1865" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1866" "ženski" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"1867" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "<250 znakov"
"1868" "ženski" "14 do 17 let" "Telesno zdravje" ">750 znakov"
"1869" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1874" "ženski" "10 do 13 let" "Odnosi" "<250 znakov"
"1875" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1879" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1880" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"1884" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1885" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"1886" "ženski" "18 do 21 let" "Telesno zdravje" "<250 znakov"
"1887" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1891" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1893" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1894" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1895" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1898" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1899" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1900" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1901" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1903" "ženski" "14 do 17 let" "Spolno zdravje" ">750 znakov"
"1907" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1911" "ženski" "10 do 13 let" "Telesno zdravje" "<250 znakov"
"1912" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1913" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1914" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1917" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1918" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1919" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"1921" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"1922" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1923" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1925" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1928" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1930" "ženski" "18 do 21 let" "Problemi, povezani s šolo" "<250 znakov"
"1931" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"1933" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1936" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1938" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"1941" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"1945" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1951" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"1953" "moški" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"1954" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1956" "moški" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"1958" "ženski" "18 do 21 let" "Duševno zdravje" ">750 znakov"
"1959" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"1960" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"1963" "moški" "14 do 17 let" "Duševno zdravje" "<250 znakov"
"1968" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"1973" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1976" "moški" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1980" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1983" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1984" "ženski" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"1987" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"1989" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"1995" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"2000" "moški" "18 do 21 let" "Spolnost" ">750 znakov"
"2002" "ženski" "18 do 21 let" "Spolno zdravje" ">750 znakov"
"2005" "moški" "10 do 13 let" "Odnosi" ">750 znakov"
"2006" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2007" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2008" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2015" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"2016" "ženski" "10 do 13 let" "Duševno zdravje" ">750 znakov"
"2018" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2020" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2021" "ženski" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"2022" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2026" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2027" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2028" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2032" "moški" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2033" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2034" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"2037" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2039" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2043" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2045" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2052" "moški" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2055" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2057" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "<250 znakov"
"2058" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"2059" "ženski" "14 do 17 let" "Spolnost" "<250 znakov"
"2060" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2061" "ženski" "18 do 21 let" "Spolnost" ">750 znakov"
"2062" "moški" "14 do 17 let" "Spolnost" ">750 znakov"
"2067" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"2068" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2069" "ženski" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"2070" "ženski" "10 do 13 let" "Telesno zdravje" "> 250 in <750 znakov"
"2071" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"2075" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"2080" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2081" "ženski" "18 do 21 let" "Telesno zdravje" ">750 znakov"
"2082" "ženski" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2085" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2087" "ženski" "18 do 21 let" "Telesno zdravje" "<250 znakov"
"2089" "moški" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2090" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2091" "ženski" "10 do 13 let" "Duševno zdravje" "> 250 in <750 znakov"
"2092" "ženski" "18 do 21 let" "Spolno zdravje" "<250 znakov"
"2094" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
"2099" "ženski" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"2102" "moški" "14 do 17 let" "Duševno zdravje" "> 250 in <750 znakov"
"2103" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2105" "moški" "10 do 13 let" "Duševno zdravje" ">750 znakov"
"2107" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2109" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2110" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2113" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"2115" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2116" "moški" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"2119" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2120" "ženski" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2121" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2122" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2123" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"2126" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2128" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2129" "ženski" "14 do 17 let" "Duševno zdravje" "<250 znakov"
"2130" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"2132" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2133" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2139" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"2143" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2148" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2149" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2151" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"2155" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2156" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"2160" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"2165" "ženski" "18 do 21 let" "Spolnost" "> 250 in <750 znakov"
"2168" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2169" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2172" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2173" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"2175" "moški" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"2179" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2180" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2181" "ženski" "18 do 21 let" "Telesno zdravje" "<250 znakov"
"2183" "ženski" "10 do 13 let" "Odnosi" ">750 znakov"
"2186" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2188" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2192" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2193" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2200" "ženski" "18 do 21 let" "Odnosi" "> 250 in <750 znakov"
"2203" "ženski" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"2204" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2207" "ženski" "10 do 13 let" "Spolnost" "<250 znakov"
"2208" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2210" "ženski" "14 do 17 let" "Odnosi" ">750 znakov"
"2211" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2213" "moški" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"2214" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2215" "moški" "10 do 13 let" "Spolno zdravje" "<250 znakov"
"2218" "ženski" "14 do 17 let" "Spolno zdravje" "> 250 in <750 znakov"
"2219" "moški" "14 do 17 let" "Droge, zasvojenost" "<250 znakov"
"2220" "moški" "14 do 17 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2225" "ženski" "10 do 13 let" "Spolnost" "> 250 in <750 znakov"
"2227" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"2229" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2235" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2236" "moški" "14 do 17 let" "Odnosi" ">750 znakov"
"2238" "moški" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2240" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"2243" "ženski" "10 do 13 let" "Spolnost" ">750 znakov"
"2244" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"2245" "moški" "14 do 17 let" "Spolnost" "<250 znakov"
"2249" "ženski" "14 do 17 let" "Odnosi" "> 250 in <750 znakov"
"2251" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"2253" "moški" "14 do 17 let" "Duševno zdravje" "<250 znakov"
"2254" "moški" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2261" "ženski" "10 do 13 let" "Telo (prehrana, vadba, samopodoba)" "<250 znakov"
"2265" "ženski" "14 do 17 let" "Telesno zdravje" "<250 znakov"
"2267" "ženski" "14 do 17 let" "Telesno zdravje" "> 250 in <750 znakov"
"2269" "ženski" "14 do 17 let" "Duševno zdravje" ">750 znakov"
"2270" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"2272" "moški" "14 do 17 let" "Odnosi" "<250 znakov"
"2274" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2275" "ženski" "14 do 17 let" "Odnosi" "<250 znakov"
"2277" "ženski" "18 do 21 let" "Spolno zdravje" "> 250 in <750 znakov"
"2280" "moški" "14 do 17 let" "Spolno zdravje" "<250 znakov"
"2283" "moški" "18 do 21 let" "Telesno zdravje" "> 250 in <750 znakov"
"2284" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2285" "ženski" "10 do 13 let" "Odnosi" "> 250 in <750 znakov"
"2291" "ženski" "14 do 17 let" "Spolnost" "> 250 in <750 znakov"
"2292" "ženski" "10 do 13 let" "Problemi, povezani s šolo" "> 250 in <750 znakov"
"2297" "ženski" "18 do 21 let" "Problemi, povezani s šolo" ">750 znakov"
"2298" "moški" "18 do 21 let" "Telo (prehrana, vadba, samopodoba)" "> 250 in <750 znakov"
"2301" "ženski" "14 do 17 let" "Telo (prehrana, vadba, samopodoba)" ">750 znakov"
"2303" "moški" "10 do 13 let" "Spolnost" "<250 znakov"
"2305" "ženski" "14 do 17 let" "Problemi, povezani s šolo" ">750 znakov"
